dia_diem,so_phong_ngu,dien_tich,loai_nha,giay_to_phap_ly,vi_tri,mat_tien,tinh_trang_nha,tang,mo_ta,gia
bac_tu_liem,4,385,can_ho,hop_dong_mua_ban,can_goc,khac,moi,1,khac,60.86
bac_tu_liem,4,358,can_ho,hop_dong_mua_ban,khu_vuc_phat_trien,khac,moi,1,khac,60.86
bac_tu_liem,6,400,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,60.8
bac_tu_liem,4,231,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,40
bac_tu_liem,4,231,can_ho,so_do,khu_vuc_phat_trien,khac,moi,2,khac,40
bac_tu_liem,6,252,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,48
bac_tu_liem,4,231,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,39
bac_tu_liem,4,231,can_ho,so_do,khu_vuc_phat_trien,khac,moi,2,khac,38.8
bac_tu_liem,6,346,can_ho,so_do,thuan_tien,khac,moi,3,ban_gap,20
bac_tu_liem,4,189,can_ho,so_do,canh_song,khac,moi,2,ban_gap,20
bac_tu_liem,3,181,can_ho,so_do,canh_ho,khac,moi,2,khac,20
bac_tu_liem,3,168,can_ho,so_do,canh_ho,khac,moi,1,khac,22.23
bac_tu_liem,3,180.8,can_ho,so_do,thuan_tien,khac,moi,1,khac,21
bac_tu_liem,3,181,can_ho,so_do,thuan_tien,khac,moi,1,khac,21.5
bac_tu_liem,4,143,can_ho,hop_dong_mua_ban,thuan_tien,khac,moi,1,khac,21.45
bac_tu_liem,3,168,can_ho,so_do,thuan_tien,khac,moi,1,khac,22
bac_tu_liem,3,142,can_ho,so_do,thuan_tien,khac,moi,1,khac,21
bac_tu_liem,4,142,can_ho,hop_dong_mua_ban,thuan_tien,khac,moi,1,khac,21.3
bac_tu_liem,4,154,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,29.4
bac_tu_liem,3,181,can_ho,so_do,canh_ho,khac,moi,1,khac,23.5
bac_tu_liem,2,101,can_ho,so_do,thuan_tien,khac,moi,1,khac,13.5
bac_tu_liem,3,118,can_ho,so_do,can_goc,khac,moi,1,khac,11.5
bac_tu_liem,2,133,can_ho,so_do,thuan_tien,khac,moi,1,khac,11
bac_tu_liem,3,125.7,quy_can_ho,khac,thuan_tien,khac,moi,1,khac,15
bac_tu_liem,3,107.5,quy_can_ho,hop_dong_mua_ban,thuan_tien,khac,moi,1,khac,12.9
bac_tu_liem,3,118,quy_can_ho,so_do,canh_song,khac,moi,1,khac,11
bac_tu_liem,2,91,quy_can_ho,so_do,thuan_tien,khac,moi,1,khac,11
bac_tu_liem,3,118,can_ho,so_do,thuan_tien,khac,moi,1,ban_gap,10.62
bac_tu_liem,3,114,can_ho,so_do,thuan_tien,khac,moi,1,khac,12.5
bac_tu_liem,3,107.5,can_ho,so_do,thuan_tien,khac,moi,1,ban_gap,12.36
bac_tu_liem,3,118,can_ho,khac,thuan_tien,khac,moi,1,khac,10.5
bac_tu_liem,2,101,can_ho,khac,thuan_tien,khac,moi,1,ban_gap,10
bac_tu_liem,2,101,quy_can_ho,so_do,thuan_tien,khac,moi,1,khac,12
bac_tu_liem,4,136,can_ho,so_do,thuan_tien,khac,moi,1,khac,12.9
bac_tu_liem,3,120,can_ho,so_do,thuan_tien,khac,moi,1,ban_gap,10.2
bac_tu_liem,3,93,can_ho,hop_dong_mua_ban,can_goc,khac,moi,1,khac,12.56
bac_tu_liem,4,186,can_ho,so_do,thuan_tien,khac,moi,1,ban_gap,14.88
bac_tu_liem,2,84,quy_can_ho,khac,thuan_tien,khac,moi,1,khac,7.7
bac_tu_liem,2,78,quy_can_ho,so_do,thuan_tien,khac,moi,1,khac,7.1
bac_tu_liem,2,50,can_ho,so_do,thuan_tien,khac,moi,1,khac,1
bac_tu_liem,1,49,can_ho,so_do,thuan_tien,khac,moi,1,khac,1
bac_tu_liem,1,45,can_ho,hop_dong_mua_ban,hem_ngo,khac,moi,0,khac,0.9
bac_tu_liem,2,55,can_ho,hop_dong_mua_ban,thuan_tien,khac,moi,1,khac,1.8
bac_tu_liem,1,33,can_ho,so_do,thuan_tien,khac,moi,1,khac,1.7
bac_tu_liem,2,50,can_ho,so_do,thuan_tien,khac,moi,1,khac,1.68
bac_tu_liem,2,50,can_ho,so_do,thuan_tien,khac,moi,1,ban_gap,1.8
bac_tu_liem,2,50,can_ho,hop_dong_mua_ban,thuan_tien,khac,moi,1,khac,1.67
bac_tu_liem,2,50,can_ho,so_do,thuan_tien,khac,moi,1,khac,1.68
bac_tu_liem,1,33,can_ho,khac,thuan_tien,khac,moi,1,khac,1.85
bac_tu_liem,2,50,can_ho,so_do,thuan_tien,khac,moi,1,khac,1.88
bac_tu_liem,2,56,can_ho,so_do,thuan_tien,khac,cu,1,khac,2.95
bac_tu_liem,2,66,can_ho,hop_dong_mua_ban,thuan_tien,khac,cu,1,khac,2.88
bac_tu_liem,2,33,can_ho,so_do,thuan_tien,khac,moi,1,khac,2.88
bac_tu_liem,2,65,can_ho,hop_dong_mua_ban,thuan_tien,khac,moi,1,khac,2.7
bac_tu_liem,2,70,can_ho,so_do,thuan_tien,khac,moi,1,khac,4.8
bac_tu_liem,2,70,quy_can_ho,so_do,thuan_tien,khac,moi,1,khac,4.4
bac_tu_liem,2,66,quy_can_ho,so_do,thuan_tien,khac,moi,1,khac,4.2
bac_tu_liem,2,93,can_ho,so_do,thuan_tien,khac,moi,1,khac,5.9
bac_tu_liem,3,94,quy_can_ho,so_do,thuan_tien,khac,moi,1,khac,5.9
bac_tu_liem,2,55,can_ho,so_do,can_goc,khac,moi,1,khac,1.7325
bac_tu_liem,3,75,can_ho,so_do,thuan_tien,khac,binh_thuong,1,khac,3.15
bac_tu_liem,1,40,can_ho,hop_dong_mua_ban,thuan_tien,khac,cu,1,ban_gap,0.8
bac_tu_liem,4,120,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.8
bac_tu_liem,3,90,can_ho,so_do,canh_ho,khac,binh_thuong,1,khac,4.32
bac_tu_liem,2,60,can_ho,so_do,canh_song,khac,binh_thuong,1,ban_gap,1.8
bac_tu_liem,3,85,can_ho,so_do,thuan_tien,khac,moi,1,khac,3.825
bac_tu_liem,4,110,can_ho,so_do,canh_ho,khac,moi,1,khac,6.6
bac_tu_liem,2,50,can_ho,hop_dong_mua_ban,can_goc,khac,cu,1,ban_gap,1.4
bac_tu_liem,3,100,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,5.5
bac_tu_liem,3,80,can_ho,so_do,thuan_tien,khac,binh_thuong,1,khac,3.68
bac_tu_liem,1,45,can_ho,so_do,canh_song,khac,moi,1,ban_gap,1.125
bac_tu_liem,2,65,can_ho,so_do,canh_ho,khac,moi,1,khac,2.21
bac_tu_liem,4,130,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,9.36
bac_tu_liem,3,95,can_ho,hop_dong_mua_ban,thuan_tien,khac,moi,1,khac,5.51
bac_tu_liem,2,70,can_ho,so_do,khu_vuc_phat_trien,khac,binh_thuong,1,khac,2.73
bac_tu_liem,3,88,can_ho,so_do,canh_ho,khac,binh_thuong,1,khac,4.488
bac_tu_liem,2,55,can_ho,so_do,canh_song,khac,cu,1,ban_gap,1.485
bac_tu_liem,4,115,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.82
bac_tu_liem,3,92,can_ho,so_do,thuan_tien,khac,binh_thuong,1,khac,4.784
bac_tu_liem,1,48,can_ho,so_do,canh_ho,khac,cu,1,khac,1.248
bac_tu_liem,2,60,can_ho,so_do,canh_song,khac,binh_thuong,1,ban_gap,1.92
bac_tu_liem,3,105,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,6.3
bac_tu_liem,2,58,can_ho,hop_dong_mua_ban,can_goc,khac,binh_thuong,1,ban_gap,1.682
bac_tu_liem,3,82,can_ho,so_do,thuan_tien,khac,binh_thuong,1,khac,3.854
bac_tu_liem,3,125,can_ho,so_do,canh_ho,khac,moi,1,khac,8.75
bac_tu_liem,3,90,can_ho,so_do,canh_song,khac,binh_thuong,1,khac,4.95
bac_tu_liem,2,52,can_ho,so_do,thuan_tien,khac,binh_thuong,1,ban_gap,1.56
bac_tu_liem,3,98,can_ho,hop_dong_mua_ban,khu_vuc_phat_trien,khac,moi,1,khac,5.684
bac_tu_liem,2,62,can_ho,so_do,canh_song,khac,binh_thuong,1,khac,2.046
bac_tu_liem,3,85,can_ho,hop_dong_mua_ban,thuan_tien,khac,binh_thuong,1,khac,3.91
bac_tu_liem,2,57,can_ho,so_do,canh_song,khac,moi,1,ban_gap,1.653
bac_tu_liem,3,108,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,6.7
bac_tu_liem,1,50,can_ho,hop_dong_mua_ban,can_goc,khac,cu,1,khac,1.25
bac_tu_liem,2,67,can_ho,so_do,thuan_tien,khac,moi,1,khac,2.412
bac_tu_liem,3,95,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,5.415
bac_tu_liem,2,59,can_ho,so_do,canh_ho,khac,moi,1,ban_gap,1.9175
bac_tu_liem,4,120,can_ho,so_do,thuan_tien,khac,moi,1,khac,7.8
bac_tu_liem,3,88,can_ho,so_do,canh_song,khac,binh_thuong,1,khac,4.4
bac_tu_liem,2,93,can_ho,so_do,thuan_tien,khac,moi,1,khac,6
bac_tu_liem,3,94,quy_can_ho,so_do,thuan_tien,khac,moi,1,ban_gap,6.3
bac_tu_liem,3,140,can_ho,so_do,can_goc,khac,moi,1,khac,10.5
bac_tu_liem,3,112.5,can_ho,so_do,thuan_tien,khac,binh_thuong,1,khac,10.5
bac_tu_liem,3,104.1,can_ho,so_do,canh_song,khac,moi,1,khac,9.1
bac_tu_liem,2,98,can_ho,so_do,thuan_tien,khac,moi,1,khac,8.45
bac_tu_liem,3,99.7,can_ho,so_do,thuan_tien,khac,moi,1,khac,8.5
bac_tu_liem,1,58,can_ho,so_do,thuan_tien,khac,moi,1,khac,5.5
bac_tu_liem,3,97.7,can_ho,so_do,thuan_tien,khac,moi,1,khac,8.5
bac_tu_liem,2,80,can_ho,so_do,thuan_tien,khac,moi,1,khac,6.5
bac_tu_liem,3,97.3,can_ho,so_do,thuan_tien,khac,moi,1,khac,8.5
bac_tu_liem,3,98,can_ho,so_do,thuan_tien,khac,moi,1,khac,8.8
bac_tu_liem,3,103.8,can_ho,so_do,thuan_tien,khac,moi,1,khac,9
bac_tu_liem,3,99,can_ho,so_do,thuan_tien,khac,moi,1,khac,7.2
bac_tu_liem,2,80,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.5
bac_tu_liem,3,104,can_ho,so_do,can_goc,khac,moi,1,khac,8
bac_tu_liem,2,73,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,6.7
bac_tu_liem,3,117,can_ho,so_do,thuan_tien,khac,moi,1,khac,11.3
bac_tu_liem,3,90,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.7
bac_tu_liem,1,58,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,5.6
bac_tu_liem,3,104,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8
bac_tu_liem,3,97,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8
bac_tu_liem,2,86,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8
bac_tu_liem,3,97,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8.3
bac_tu_liem,3,98,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,9
bac_tu_liem,3,99,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,9.5
bac_tu_liem,5,195,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,17
bac_tu_liem,4,160,can_ho,so_do,canh_song,khac,moi,1,khac,14.5
cau_giay,3,2400,biet_thu,hop_dong_mua_ban,khu_vuc_phat_trien,khac,moi,1,khac,120
cau_giay,2,88,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,0.18
cau_giay,2,55,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,1.98
cau_giay,1,38,quy_can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,2.74
cau_giay,2,35,quy_can_ho,hop_dong_mua_ban,khu_vuc_phat_trien,khac,moi,1,khac,3
cau_giay,1,38,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,2.9
cau_giay,1,36,can_ho,hop_dong_mua_ban,khu_vuc_phat_trien,khac,moi,1,khac,2.9
cau_giay,1,44,can_ho,hop_dong_mua_ban,khu_vuc_phat_trien,khac,moi,1,khac,2.9
cau_giay,1,60,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,2.8
cau_giay,1,38,can_ho,khac,khu_vuc_phat_trien,khac,moi,1,khac,2.7
cau_giay,1,70,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,4.75
cau_giay,1,38,quy_can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,3.1
cau_giay,2,61,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,4.2
cau_giay,1,45.7,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,4.55
cau_giay,2,56,can_ho,khac,khu_vuc_phat_trien,khac,moi,1,khac,68.5
cau_giay,2,65,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,4.65
cau_giay,2,56,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,3.98
cau_giay,2,70,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,4.6
cau_giay,2,62,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,4.3
cau_giay,2,67,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,6.3
cau_giay,3,80,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,6.3
cau_giay,2,54,can_ho,so_do,khu_vuc_phat_trien,khac,moi ,1,khac,6
cau_giay,2,70,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.2
cau_giay,3,93,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8.8
cau_giay,2,60,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,10
cau_giay,2,85.26,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8.2
cau_giay,3,108.6,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,10
cau_giay,3,85.3,quy_can_ho,khac,khu_vuc_phat_trien,khac,moi,1,khac,8.2
cau_giay,3,87.8,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8.26
cau_giay,3,87.8,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8.5
cau_giay,3,121,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8.5
cau_giay,2,83.6,quy_can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8.28
cau_giay,2,96.8,quy_can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,8.15
cau_giay,3,96,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,9
cau_giay,3,100,can_ho,khac,khu_vuc_phat_trien,khac,moi,1,ban_gap,7.2
cau_giay,2,77,quy_can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.4
cau_giay,3,121,can_ho,khac,khu_vuc_phat_trien,khac,moi,1,khac,9.8
cau_giay,3,120,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.35
cau_giay,3,115,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.13
cau_giay,3,121,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.8
cau_giay,3,119,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.5
cau_giay,3,152,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,9.6
cau_giay,3,146,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,9.5
cau_giay,3,160,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,10.08
cau_giay,3,122,can_ho,so_do,khu_vuc_phat_trien,khac,moi,1,khac,7.93
